Official Number,Pokemon Name,Form
10067,Altaria,Mega Altaria
10068,Gallade,Mega Gallade
10069,Audino,Mega Audino
10070,Sharpedo,Mega Sharpedo
10071,Slowbro,Mega Slowbro
10072,Steelix,Mega Steelix
10073,Pidgeot,Mega Pidgeot
10074,Glalie,Mega Glalie
10075,Diancie,Mega Diancie
10076,Metagross,Mega Metagross
10077,Kyogre,Primal Kyogre
10078,Groudon,Primal Groudon
10079,Rayquaza,Mega Rayquaza
10080,Pikachu ,Rock Star Pikachu 
10081,Pikachu,Belle Pikachu 
10082,Pikachu,Pop Star Pikachu 
10083,Pikachu,Phd Pikachu 
10084,Pikachu,Libre Pikachu 
10085,Pikachu,Cosplay Pikachu 
10086,Hoopa,Hoopa Unbound
10087,Camerupt,Mega Camerupt
10088,Lopunny,Mega Lopunny
10089,Salamence,Mega Salamence
10090,Beedrill,Mega Beedrill
10091,Rattata,Alolan Rattata
10092,Raticate,Alolan Raticate
10093,Raticate,Alolan Totem
10094,Pikachu,Original Cap
10095,Pikachu,Hoenn Cap
10096,Pikachu,Sinnoh Cap
10097,Pikachu,Unova Cap
10098,Pikachu,Kalos Cap
10099,Pikachu,Alolan Cap
10100,Raichu,Alolan Raichu
10101,Sandshrew,Alolan Sandshrew
10102,Sandslash,Alolan Sandslash
10103,Vulpix,Alolan Vulpix
10104,Ninetales,Alolan Ninetales
10105,Diglett,Alolan Diglett
10106,Dugtrio,Alolan Dugtrio
10107,Meowth,Alolan Meowth
10108,Persian,Alolan Persian
10109,Geodude,Alolan Geodude
10110,Graveler,Alolan Graveler
10111,Golem,Alolan Golem
10112,Grimer,Alolan Grimer
10113,Muk,Alolan Muk
10114,Exeggutor,Alolan Exeggutor
10115,Marowak,Alolan Marowak
10116,Greninja,Battle Bond Greninja
10117,Greninja,Ash Greninja
10118,Zygarde,10% Forme
10119,Zygarde,50% Forme
10120,Zygarde,Complete Forme
10121,Gumshoos,Totem
10122,Vikavolt,Totem
10123,Oricorio,Pom-Pom Style
10124,Oricorio,Pa'u Style
10125,Oricorio,Sensu Style
10126,Lycanroc,Midnight Form
10127,Wishiwashi,School Form
10128,Lurantis,Totem
10129,Salazzle,Totem
10130,Minior,Orange Meteor
10131,Minior,Yellow Meteor
10132,Minior,Green Meteor
10133,Minior,Blue Meteor
10134,Minior,Indigo Meteor
10135,Minior,Violet Meteor
10136,Minior,Red Core
10137,Minior,Orange Core
10138,Minior,Yellow Core
10139,Minior,Green Core
10140,Minior,Blue Core
10141,Minior,Indigo Core
10142,Minior,Violet Core
10144,Mimikyu,Totem Disguised Mimikyu
10146,Kommo-o,Totem
10147,Magearna,Original Color Magearna
10148,Pikachu,Partner Cap Pikachu
10149,Marowak,Alola Totem
10150,Ribombee,Totem
10151,Rockruff,Own Tempo
10152,Lycanroc,Dusk Form
10153,Araquanid,Totem
10154,Togedemaru,Totem
10155,Necrozma,Dusk Mane Necrozma
10156,Necrozma,Dawn Wings Necrozma
10157,Necrozma,Ultra Necrozma
10158,Pikachu,Starter
10159,Eevee,Starter
10160,Pikachu,World Cap Pikachu
10161,Meowth,Galarian Meowth
10162,Ponyta,Galarian Ponyta
10163,Rapidash,Galarian Rapidash
10164,Slowpoke,Galarian Slowpoke
10165,Slowbro,Galarian Slowbro
10166,Farfetch'd,Galarian Farfetch'd
10167,Weezing,Galarian Weezing
10168,Mr. Mime,Galarian Mr. Mime
10169,Articuno,Galarian Articuno
10170,Zapdos,Galarian Zapdos
10171,Moltres,Galarian Moltres
10172,Slowking,Galarian Slowking
10173,Corsola,Galarian Corsola
10174,Zigzagoon,Galarian Zigzagoon
10175,Linoone,Galarian Linoone
10176,Darumaka,Galarian Darumaka
10177,Darmanitan,Galarian Darmanitan
10178,Darmanitan,Galarian Zen Mode
10179,Yamask,Galarian Yamask
10180,Stunfisk,Galarian Stunfisk
10181,Zygarde,10% Form
10182,Cramorant,Gulping
10183,Cramorant,Gorging
10184,Toxtricity,Low key Form
10185,Eiscue,Noice Face
10186,Indeedee,Female 
10187,Morpeko,Hangry Mode
10188,Zacian,Crowned Sword
10189,Zamazenta,Crowned Shield
10190,Eternatus,Eternamax
10191,Urshifu,Rapid Strike Style
10192,Zarude,Dada
10193,Calyrex,Ice Rider
10194,Calyrex,Shadow Rider
10195,Venusaur,Gigantamax Venusaur
10196,Charizard,Gigantamax Charizard
10197,Blastoise,Gigantamax Blastoise
10198,Butterfree,Gigantamax Butterfree
10199,Pikachu,Gigantamax Pikachu
10200,Meowth,Gigantamax Meowth
10201,Machamp,Gigantamax Machamp
10202,Gengar,Gigantamax Gengar
10203,Kingler,Gigantamax Kingler
10204,Lapras,Gigantamax Lapras
10205,Eevee,Gigantamax Eevee
10206,Snorlax,Gigantamax Snorlax
10207,Garbodor,Gigantamax Garbodor
10208,Melmetal,Gigantamax Melmetal
10209,Rillaboom,Gigantamax Rillaboom
10210,Cinderace,Gigantamax Cinderace
10211,Inteleon,Gigantamax Inteleon
10212,Corviknight ,Gigantamax Corviknight 
10213,Orbeetle,Gigantamax Orbeetle
10214,Drednaw,Gigantamax Drednaw
10215,Coalossal,Gigantamax Coalossal
10216,Flapple,Gigantamax Flapple
10217,Appletun,Gigantamax Appletun
10218,Sandaconda,Gigantamax Sandaconda
10219,Toxtricity,Amped Form Gigantamax
10220,Centiskorch,Gigantamax Centiskorch
10221,Hatterene,Gigantamax Hatterene
10222,Grimmsnarl,Gigantamax Grimmsnarl
10223,Alcremie,Gigantamax Alcremie
10224,Copperajah,Gigantamax Copperajah
10225,Duraludon,Gigantamax Duraludon
10226,Urshifu,Single Strike Gigantamax
10227,Urshifu,Rapid Strike Gigantamax
10228,Toxtricity,Low Key Gigantamax
10229,Growlithe,Hisuian Growlithe
10230,Arcanine,Hisuian Arcanine
10231,Voltorb,Hisuian Voltorb
10232,Electrode,Hisuian Electrode
10233,Typhlosion,Hisuian Typhlosion
10234,Qwilfish,Hisuian Qwilfish
10235,Sneasel,Hisuian Sneasel
10236,Samurott,Hisuian Samurott
10237,Lilligant,Hisuian Lilligant
10238,Zorua,Hisuian Zorua
10239,Zoroark,Hisuian Zoroark
10240,Braviary,Hisuian Braviary
10241,Sligoo,Hisuian Sligoo
10242,Goodra,Hisuian Goodra
10243,Avalugg,Hisuian Avalugg
10244,Decidueye,Hisuian Decidueye
10245,Dialga,Origin Forme
10246,Palkia,Origin Forme
10247,Basculin,White-Striped Form
10248,Basculegion,Female 
10249,Enamorus,Therian Forme
10250,Tauros,Combat Breed
10251,Tauros,Blaze Breed
10252,Tauros,Aqua Breed
10253,Wooper,Paldea Wooper
10254,Oinkologne,Female 
10255,Dudunsparce,Three-Segment Form
10256,Palafin,Hero Form
10257,Maushold,Family of Three
10258,Tatsugiri,Droopy Form
10259,Tatsugiri,Stretchy Form
10260,Squawkabilly,Blue Plumage
10261,Squawkabilly,Yellow Plumage
10262,Squawkabilly,White Plumage
10263,Gimmighoul,Roaming Form
